PO_ID     ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          ,LIFECYCLE_STATUS,OVERALL_STATUS
300000088,EUR          ,6178.48,5192,986.48,N               ,P             
300000089,EUR          ,7191.17,6043,1148.17,N               ,P             
300000090,EUR          ,19331.55,16245,3086.55,N               ,P             
300000091,EUR          ,3297.49,2771,526.49,N               ,P             
300000092,EUR          ,1463.58,1229.9,233.68,N               ,P             
300000093,EUR          ,7892.07,6631.99,1260.08,N               ,P             
300000094,EUR          ,5115.77,4298.97,816.8,N               ,P             
300000095,EUR          ,521.22,438,83.22,N               ,P             
300000096,EUR          ,3297.49,2771,526.49,N               ,P             
300000097,EUR          ,7775.46,6534,1241.46,N               ,P             
300000098,EUR          ,5234.8,4398.99,835.81,N               ,P             
300000099,EUR          ,24302.18,20422,3880.18,N               ,P             
300000100,EUR          ,5007.75,4208.2,799.55,N               ,P             
300000101,EUR          ,3653.3,3070,583.3,N               ,P             
300000102,EUR          ,4074.08,3423.6,650.48,N               ,P             
300000103,EUR          ,4696.93,3947,749.93,N               ,P             
300000104,EUR          ,8509.64,7150.96,1358.68,N               ,P             
300000105,EUR          ,6436.71,5409,1027.71,N               ,P             
300000106,EUR          ,2942.87,2473,469.87,N               ,P             
300000107,EUR          ,8509.67,7150.98,1358.69,N               ,P             
300000108,EUR          ,6053.53,5087,966.53,N               ,P             
300000109,EUR          ,1113.84,936,177.84,N               ,P             
300000110,EUR          ,660.4,554.95,105.45,N               ,P             
300000111,EUR          ,4676.7,3930,746.7,N               ,P             
300000112,EUR          ,7771.81,6530.93,1240.88,N               ,P             
300000113,EUR          ,11816.17,9929.55,1886.62,N               ,P             
300000114,EUR          ,4523.19,3801,722.19,N               ,P             
300000115,EUR          ,9935.31,8349,1586.31,N               ,P             
300000116,EUR          ,3982.93,3347,635.93,N               ,P             
300000117,EUR          ,3259.41,2739,520.41,N               ,P             
300000118,EUR          ,4249.49,3571,678.49,N               ,P             
300000119,EUR          ,7539.84,6336,1203.84,N               ,P             
300000120,EUR          ,11506.11,9669,1837.11,N               ,P             
300000121,EUR          ,3752.07,3153,599.07,N               ,P             
300000122,EUR          ,549.78,462,87.78,N               ,P             
300000123,EUR          ,2343.94,1969.7,374.24,N               ,P             
300000124,EUR          ,6298.57,5292.92,1005.65,N               ,P             
300000125,EUR          ,3510.75,2950.2,560.55,N               ,P             
300000126,EUR          ,11738.16,9864,1874.16,N               ,P             
300000127,EUR          ,13258.98,11142,2116.98,N               ,P             
300000128,EUR          ,16561.23,13917,2644.23,N               ,P             
300000129,EUR          ,3422.44,2876,546.44,N               ,P             
300000130,EUR          ,8745.31,7349,1396.31,N               ,P             
300000131,EUR          ,5961.53,5009.69,951.84,N               ,P             
300000132,EUR          ,31419.57,26403,5016.57,N               ,P             
300000133,EUR          ,7450.59,6261,1189.59,N               ,P             
300000134,EUR          ,3803.24,3196,607.24,N               ,P             
300000135,EUR          ,7134.01,5994.96,1139.05,N               ,P             
300000136,EUR          ,8212.15,6900.97,1311.18,N               ,P             
300000137,EUR          ,3257.03,2737,520.03,N               ,P             
300000138,EUR          ,2645.37,2223,422.37,N               ,P             
300000139,EUR          ,7022.19,5901,1121.19,N               ,P             
300000140,EUR          ,7650.51,6429,1221.51,N               ,P             
300000141,EUR          ,3986.25,3349.79,636.46,N               ,P             
300000142,EUR          ,3778.25,3175,603.25,N               ,P             
300000143,EUR          ,9599.61,8066.9,1532.71,N               ,P             
300000144,EUR          ,9859.15,8285,1574.15,N               ,P             
300000145,EUR          ,7388.11,6208.5,1179.61,N               ,P             
300000146,EUR          ,819.91,689,130.91,N               ,P             
300000147,EUR          ,5922.63,4977,945.63,N               ,P             
300000148,EUR          ,5696.53,4787,909.53,N               ,P             
300000149,EUR          ,9157.05,7695,1462.05,N               ,P             
300000150,EUR          ,4934.93,4147,787.93,N               ,P             
300000151,EUR          ,4934.93,4147,787.93,N               ,P             
300000152,EUR          ,2234.12,1877.4,356.72,N               ,P             
300000153,EUR          ,4928.98,4142,786.98,N               ,P             
300000154,EUR          ,2646.53,2223.97,422.56,N               ,P             
300000155,EUR          ,3527.05,2963.9,563.15,N               ,P             
300000156,EUR          ,3546.16,2979.97,566.19,N               ,P             
300000157,EUR          ,6539.05,5495,1044.05,N               ,P             
300000158,EUR          ,3340.33,2807,533.33,N               ,P             
300000159,EUR          ,3680.19,3092.6,587.59,N               ,P             
300000160,EUR          ,8745.31,7349,1396.31,N               ,P             
300000161,EUR          ,828.24,696,132.24,N               ,P             
300000162,EUR          ,584.29,491,93.29,N               ,P             
300000163,EUR          ,1765.88,1483.93,281.95,N               ,P             
300000164,EUR          ,8246.32,6929.68,1316.64,N               ,P             
300000165,EUR          ,2992.86,2515,477.86,N               ,P             
300000166,EUR          ,1520.46,1277.7,242.76,N               ,P             
300000167,EUR          ,808.84,679.7,129.14,N               ,P             
300000168,EUR          ,2203.88,1852,351.88,N               ,P             
300000169,EUR          ,7187.6,6040,1147.6,N               ,P             
300000170,EUR          ,3001.18,2522,479.18,N               ,P             
300000171,EUR          ,3090.42,2596.99,493.43,N               ,P             
300000172,EUR          ,3919.86,3294,625.86,N               ,P             
300000173,EUR          ,1397.06,1174,223.06,N               ,P             
300000174,EUR          ,20566.77,17283,3283.77,N               ,P             
300000175,EUR          ,36505.63,30677,5828.63,N               ,P             
300000176,EUR          ,11252.64,9456,1796.64,N               ,P             
300000177,EUR          ,11666.69,9803.94,1862.75,N               ,P             
300000178,EUR          ,7936.89,6669.66,1267.23,N               ,P             
300000179,EUR          ,1651.72,1388,263.72,N               ,P             
300000180,EUR          ,13132.36,11035.6,2096.76,N               ,P             
300000181,EUR          ,8171.61,6866.9,1304.71,N               ,P             
300000182,EUR          ,8641.78,7262,1379.78,N               ,P             
300000183,EUR          ,15404.55,12945,2459.55,N               ,P             
300000184,EUR          ,2767.94,2326,441.94,N               ,P             
300000185,EUR          ,8745.31,7349,1396.31,N               ,P             
300000186,EUR          ,5363.33,4507,856.33,N               ,P             
300000187,EUR          ,6375.94,5357.93,1018.01,N               ,P             
300000188,EUR          ,5413.31,4549,864.31,N               ,P             
300000189,EUR          ,3283.21,2759,524.21,N               ,P             
300000190,EUR          ,16463.09,13834.53,2628.56,N               ,P             
300000191,EUR          ,4456.55,3745,711.55,N               ,P             
300000192,EUR          ,2069.17,1738.8,330.37,N               ,P             
300000193,EUR          ,2308.48,1939.9,368.58,N               ,P             
300000194,EUR          ,6262.97,5263,999.97,N               ,P             
300000195,EUR          ,3980.08,3344.6,635.48,N               ,P             
300000196,EUR          ,2457.23,2064.9,392.33,N               ,P             
300000197,EUR          ,1535.1,1290,245.1,N               ,P             
300000198,EUR          ,9599.61,8066.9,1532.71,N               ,P             
300000199,EUR          ,22350.58,18782,3568.58,N               ,P             
300000200,EUR          ,53414.34,44886,8528.34,N               ,P             
300000201,EUR          ,12208.56,10259.3,1949.26,N               ,P             
300000202,EUR          ,10491.04,8816,1675.04,N               ,P             
300000203,EUR          ,470,394.96,75.04,N               ,P             
300000204,EUR          ,2755.56,2315.6,439.96,N               ,P             
300000205,EUR          ,13132.36,11035.6,2096.76,N               ,P             
300000206,EUR          ,2904.79,2441,463.79,N               ,P             
300000207,EUR          ,2354.54,1978.6,375.94,N               ,P             
300000208,EUR          ,4347.01,3652.95,694.06,N               ,P             
300000209,EUR          ,947.24,796,151.24,N               ,P             
300000210,EUR          ,27504.47,23113,4391.47,N               ,P             
300000211,EUR          ,252.28,212,40.28,N               ,P             
300000212,EUR          ,108157.91,90889,17268.91,N               ,P             
300000213,EUR          ,19452.93,16347,3105.93,N               ,P             
300000214,EUR          ,5822.67,4893,929.67,N               ,P             
300000215,EUR          ,13876.59,11661,2215.59,N               ,P             
300000216,EUR          ,60698.33,51007,9691.33,N               ,P             
300000217,EUR          ,854.42,718,136.42,N               ,P             
300000218,EUR          ,3051.16,2564,487.16,N               ,P             
300000219,EUR          ,7360.39,6185.2,1175.19,N               ,P             
300000220,EUR          ,9292.66,7808.95,1483.71,N               ,P             
300000221,EUR          ,5015.85,4215,800.85,N               ,P             
300000222,EUR          ,3523.59,2961,562.59,N               ,P             
300000223,EUR          ,9698.13,8149.69,1548.44,N               ,P             
300000224,EUR          ,6117.69,5140.92,976.77,N               ,P             
300000225,EUR          ,2277.66,1914,363.66,N               ,P             
300000226,EUR          ,20253.8,17020,3233.8,N               ,P             
300000227,EUR          ,7575.54,6366,1209.54,N               ,P             
300000228,EUR          ,4715.92,3962.96,752.96,N               ,P             
300000229,EUR          ,7848.05,6595,1253.05,N               ,P             
300000230,EUR          ,487.9,410,77.9,N               ,P             
300000231,EUR          ,1351.84,1136,215.84,N               ,P             
300000232,EUR          ,8554.91,7189,1365.91,N               ,P             
300000233,EUR          ,5682.25,4775,907.25,N               ,P             
300000234,EUR          ,3769.92,3168,601.92,N               ,P             
300000235,EUR          ,2589.45,2176,413.45,N               ,P             
300000236,EUR          ,54034.33,45407,8627.33,N               ,P             
300000237,EUR          ,108157.91,90889,17268.91,N               ,P             
300000238,EUR          ,6840.71,5748.5,1092.21,N               ,P             
300000239,EUR          ,63073.57,53003,10070.57,N               ,P             
300000240,EUR          ,2248.99,1889.91,359.08,N               ,P             
300000241,EUR          ,3986.25,3349.79,636.46,N               ,P             
300000242,EUR          ,6700.89,5631,1069.89,N               ,P             
300000243,EUR          ,10073.19,8464.87,1608.32,N               ,P             
300000244,EUR          ,3283.13,2758.94,524.19,N               ,P             
300000245,EUR          ,1710.03,1437,273.03,N               ,P             
300000246,EUR          ,1864.71,1566.98,297.73,N               ,P             
300000247,EUR          ,5601.33,4707,894.33,N               ,P             
300000248,EUR          ,3944.81,3314.97,629.84,N               ,P             
300000249,EUR          ,3233.23,2717,516.23,N               ,P             
300000250,EUR          ,3913.91,3289,624.91,N               ,P             
300000251,EUR          ,43534.96,36584,6950.96,N               ,P             
300000252,EUR          ,18142.74,15246,2896.74,N               ,P             
300000253,EUR          ,6251.07,5253,998.07,N               ,P             
300000254,EUR          ,4467.94,3754.57,713.37,N               ,P             
300000255,EUR          ,6362.89,5346.96,1015.93,N               ,P             
300000256,EUR          ,4348.26,3654,694.26,N               ,P             
300000257,EUR          ,1857.5,1560.92,296.58,N               ,P             
300000258,EUR          ,2791.74,2346,445.74,N               ,P             
300000259,EUR          ,1427.76,1199.8,227.96,N               ,P             
300000260,EUR          ,7261.38,6102,1159.38,N               ,P             
300000261,EUR          ,475.52,399.6,75.92,N               ,P             
300000262,EUR          ,15621.13,13127,2494.13,N               ,P             
300000263,EUR          ,6320.04,5310.95,1009.09,N               ,P             
300000264,EUR          ,239.19,201,38.19,N               ,P             
300000265,EUR          ,13075.83,10988.1,2087.73,N               ,P             
300000266,EUR          ,1942.08,1632,310.08,N               ,P             
300000267,EUR          ,117.8,98.99,18.81,N               ,P             
300000268,EUR          ,19813.5,16650,3163.5,N               ,P             
300000269,EUR          ,8448.47,7099.56,1348.91,N               ,P             
300000270,EUR          ,3980.08,3344.6,635.48,N               ,P             
300000271,EUR          ,7625.52,6408,1217.52,N               ,P             
300000272,EUR          ,1535.1,1290,245.1,N               ,P             
300000273,EUR          ,1624.35,1365,259.35,N               ,P             
300000274,EUR          ,13781.39,11581,2200.39,N               ,P             
300000275,EUR          ,47582.15,39985,7597.15,N               ,P             
300000276,EUR          ,18190.34,15286,2904.34,N               ,P             
300000277,EUR          ,9182.04,7716,1466.04,N               ,P             
300000278,EUR          ,5806.01,4879,927.01,N               ,P             
300000279,EUR          ,1626.37,1366.7,259.67,N               ,P             
300000280,EUR          ,2691.78,2262,429.78,N               ,P             
300000281,EUR          ,4950.4,4160,790.4,N               ,P             
300000282,EUR          ,12020.19,10101,1919.19,N               ,P             
300000283,EUR          ,71973.58,60482,11491.58,N               ,P             
300000284,EUR          ,8751.26,7354,1397.26,N               ,P             
300000285,EUR          ,4938.5,4150,788.5,N               ,P             
300000286,EUR          ,3227.24,2711.97,515.27,N               ,P             
300000287,EUR          ,8542.94,7178.94,1364,N               ,P             
300000288,EUR          ,3485.98,2929.4,556.58,N               ,P             
300000289,EUR          ,6127.29,5148.98,978.31,N               ,P             
300000290,EUR          ,13274.68,11155.2,2119.48,N               ,P             
300000291,EUR          ,1933.73,1624.98,308.75,N               ,P             
300000292,EUR          ,2153.9,1810,343.9,N               ,P             
300000293,EUR          ,5622.75,4725,897.75,N               ,P             
300000294,EUR          ,20476.33,17207,3269.33,N               ,P             
300000295,EUR          ,90278.16,75864,14414.16,N               ,P             
300000296,EUR          ,12848.43,10797,2051.43,N               ,P             
300000297,EUR          ,1067.43,897,170.43,N               ,P             
300000298,EUR          ,5257.42,4418,839.42,N               ,P             
300000299,EUR          ,16756.39,14081,2675.39,N               ,P             
300000300,EUR          ,7349.35,6175.92,1173.43,N               ,P             
300000301,EUR          ,11252.64,9456,1796.64,N               ,P             
300000302,EUR          ,3140.41,2639,501.41,N               ,P             
300000303,EUR          ,6251.07,5253,998.07,N               ,P             
300000304,EUR          ,3944.82,3314.97,629.85,N               ,P             
300000305,EUR          ,125635.44,105576,20059.44,N               ,P             
300000306,EUR          ,974.61,819,155.61,N               ,P             
300000307,EUR          ,3669.96,3084,585.96,N               ,P             
300000308,EUR          ,7677.85,6451.97,1225.88,N               ,P             
300000309,EUR          ,3453.38,2902,551.38,N               ,P             
300000310,EUR          ,12644.94,10626,2018.94,N               ,P             
300000311,EUR          ,4598.16,3864,734.16,N               ,P             
300000312,EUR          ,722.23,606.91,115.32,N               ,P             
300000313,EUR          ,2354.54,1978.6,375.94,N               ,P             
300000314,EUR          ,10281.6,8640,1641.6,N               ,P             
300000315,EUR          ,213043.32,179028,34015.32,N               ,P             
300000316,EUR          ,222.41,186.9,35.51,N               ,P             
300000317,EUR          ,808.84,679.7,129.14,N               ,P             
300000318,EUR          ,4137.63,3477,660.63,N               ,P             
300000319,EUR          ,1995.63,1677,318.63,N               ,P             
300000320,EUR          ,11320.47,9513,1807.47,N               ,P             
300000321,EUR          ,12848.43,10797,2051.43,N               ,P             
300000322,EUR          ,514.08,432,82.08,N               ,P             
300000323,EUR          ,3260.6,2740,520.6,N               ,P             
300000324,EUR          ,6117.69,5140.92,976.77,N               ,P             
300000325,EUR          ,14307.48,12023.1,2284.38,N               ,P             
300000326,EUR          ,3510.74,2950.2,560.54,N               ,P             
300000327,EUR          ,8979.74,7546,1433.74,N               ,P             
300000328,EUR          ,5519.22,4638,881.22,N               ,P             
300000329,EUR          ,14102.69,11851,2251.69,N               ,P             
300000330,EUR          ,3483.13,2927,556.13,N               ,P             
300000331,EUR          ,53780.86,45194,8586.86,N               ,P             
300000332,EUR          ,4872.25,4094.33,777.92,N               ,P             
300000333,EUR          ,8811.95,7405,1406.95,N               ,P             
300000334,EUR          ,5033.7,4230,803.7,N               ,P             
300000335,EUR          ,4031.72,3388,643.72,N               ,P             
300000336,EUR          ,6282.82,5279.68,1003.14,N               ,P             
300000337,EUR          ,12603.29,10591,2012.29,N               ,P             
300000338,EUR          ,6178.48,5192,986.48,N               ,P             
300000339,EUR          ,7191.17,6043,1148.17,N               ,P             
300000340,EUR          ,19331.55,16245,3086.55,N               ,P             
300000341,EUR          ,3297.49,2771,526.49,N               ,P             
300000342,EUR          ,1463.58,1229.9,233.68,N               ,P             
300000343,EUR          ,7892.07,6631.99,1260.08,N               ,P             
300000344,EUR          ,5115.77,4298.97,816.8,N               ,P             
300000345,EUR          ,521.22,438,83.22,N               ,P             
300000346,EUR          ,3297.49,2771,526.49,N               ,P             
300000347,EUR          ,7775.46,6534,1241.46,N               ,P             
300000348,EUR          ,5234.8,4398.99,835.81,N               ,P             
300000349,EUR          ,24302.18,20422,3880.18,N               ,P             
300000350,EUR          ,5007.75,4208.2,799.55,N               ,P             
300000351,EUR          ,3653.3,3070,583.3,N               ,P             
300000352,EUR          ,4074.08,3423.6,650.48,N               ,P             
300000353,EUR          ,4696.93,3947,749.93,N               ,P             
300000354,EUR          ,8509.64,7150.96,1358.68,N               ,P             
300000355,EUR          ,6436.71,5409,1027.71,N               ,P             
300000356,EUR          ,2942.87,2473,469.87,N               ,P             
300000357,EUR          ,8509.67,7150.98,1358.69,N               ,P             
300000358,EUR          ,6053.53,5087,966.53,N               ,P             
300000359,EUR          ,1113.84,936,177.84,N               ,P             
300000360,EUR          ,660.4,554.95,105.45,N               ,P             
300000361,EUR          ,4676.7,3930,746.7,N               ,P             
300000362,EUR          ,7771.81,6530.93,1240.88,N               ,P             
300000363,EUR          ,11816.17,9929.55,1886.62,N               ,P             
300000364,EUR          ,4523.19,3801,722.19,N               ,P             
300000365,EUR          ,9935.31,8349,1586.31,N               ,P             
300000366,EUR          ,3982.93,3347,635.93,N               ,P             
300000367,EUR          ,3259.41,2739,520.41,N               ,P             
300000368,EUR          ,4249.49,3571,678.49,N               ,P             
300000369,EUR          ,7539.84,6336,1203.84,N               ,P             
300000370,EUR          ,11506.11,9669,1837.11,N               ,P             
300000371,EUR          ,3752.07,3153,599.07,N               ,P             
300000372,EUR          ,549.78,462,87.78,N               ,P             
300000373,EUR          ,2343.94,1969.7,374.24,N               ,P             
300000374,EUR          ,6298.57,5292.92,1005.65,N               ,P             
300000375,EUR          ,3510.75,2950.2,560.55,N               ,P             
300000376,EUR          ,11738.16,9864,1874.16,N               ,P             
300000377,EUR          ,13258.98,11142,2116.98,N               ,P             
300000378,EUR          ,16561.23,13917,2644.23,N               ,P             
300000379,EUR          ,3422.44,2876,546.44,N               ,P             
300000380,EUR          ,8745.31,7349,1396.31,N               ,P             
300000381,EUR          ,5961.53,5009.69,951.84,N               ,P             
300000382,EUR          ,31419.57,26403,5016.57,N               ,P             
300000383,EUR          ,7450.59,6261,1189.59,N               ,P             
300000384,EUR          ,3803.24,3196,607.24,N               ,P             
300000385,EUR          ,7134.01,5994.96,1139.05,N               ,P             
300000386,EUR          ,8212.15,6900.97,1311.18,N               ,P             
300000387,EUR          ,3257.03,2737,520.03,N               ,P             
300000388,EUR          ,2645.37,2223,422.37,N               ,P             
300000389,EUR          ,7022.19,5901,1121.19,N               ,P             
300000390,EUR          ,7650.51,6429,1221.51,N               ,P             
300000391,EUR          ,3986.25,3349.79,636.46,N               ,P             
300000392,EUR          ,3778.25,3175,603.25,N               ,P             
300000393,EUR          ,9599.61,8066.9,1532.71,N               ,P             
300000394,EUR          ,9859.15,8285,1574.15,N               ,P             
300000395,EUR          ,7388.11,6208.5,1179.61,N               ,P             
300000396,EUR          ,819.91,689,130.91,N               ,P             
300000397,EUR          ,5922.63,4977,945.63,N               ,P             
300000398,EUR          ,5696.53,4787,909.53,N               ,P             
300000399,EUR          ,9157.05,7695,1462.05,N               ,P             
300000400,EUR          ,4934.93,4147,787.93,N               ,P             
300000401,EUR          ,4934.93,4147,787.93,N               ,P             
300000402,EUR          ,2234.12,1877.4,356.72,N               ,P             
300000403,EUR          ,4928.98,4142,786.98,N               ,P             
300000404,EUR          ,2646.53,2223.97,422.56,N               ,P             
300000405,EUR          ,3527.05,2963.9,563.15,N               ,P             
300000406,EUR          ,3546.16,2979.97,566.19,N               ,P             
300000407,EUR          ,6539.05,5495,1044.05,N               ,P             
300000408,EUR          ,3340.33,2807,533.33,N               ,P             
300000409,EUR          ,3680.19,3092.6,587.59,N               ,P             
300000410,EUR          ,8745.31,7349,1396.31,N               ,P             
300000411,EUR          ,828.24,696,132.24,N               ,P             
300000412,EUR          ,584.29,491,93.29,N               ,P             
300000413,EUR          ,1765.88,1483.93,281.95,N               ,P             
300000414,EUR          ,8246.32,6929.68,1316.64,N               ,P             
300000415,EUR          ,2992.86,2515,477.86,N               ,P             
300000416,EUR          ,1520.46,1277.7,242.76,N               ,P             
300000417,EUR          ,808.84,679.7,129.14,N               ,P             
300000418,EUR          ,2203.88,1852,351.88,N               ,P             
300000419,EUR          ,7187.6,6040,1147.6,N               ,P             
300000420,EUR          ,3001.18,2522,479.18,N               ,P             
300000421,EUR          ,3090.42,2596.99,493.43,N               ,P             
300000422,EUR          ,3919.86,3294,625.86,N               ,P             
300000423,EUR          ,1397.06,1174,223.06,N               ,P             
300000424,EUR          ,20566.77,17283,3283.77,N               ,P             
300000425,EUR          ,36505.63,30677,5828.63,N               ,P             
300000426,EUR          ,11252.64,9456,1796.64,N               ,P             
300000427,EUR          ,11666.69,9803.94,1862.75,N               ,P             
300000428,EUR          ,7936.89,6669.66,1267.23,N               ,P             
300000429,EUR          ,1651.72,1388,263.72,N               ,P             
300000430,EUR          ,13132.36,11035.6,2096.76,N               ,P             
300000431,EUR          ,8171.61,6866.9,1304.71,N               ,P             
300000432,EUR          ,8641.78,7262,1379.78,N               ,P             
300000433,EUR          ,15404.55,12945,2459.55,N               ,P             
300000434,EUR          ,2767.94,2326,441.94,N               ,P             
300000435,EUR          ,8745.31,7349,1396.31,N               ,P             
300000436,EUR          ,5363.33,4507,856.33,N               ,P             
300000437,EUR          ,6375.94,5357.93,1018.01,N               ,P             
300000438,EUR          ,5413.31,4549,864.31,N               ,P             
300000439,EUR          ,3283.21,2759,524.21,N               ,P             
300000440,EUR          ,16463.09,13834.53,2628.56,N               ,P             
300000441,EUR          ,4456.55,3745,711.55,N               ,P             
300000442,EUR          ,2069.17,1738.8,330.37,N               ,P             
300000443,EUR          ,2308.48,1939.9,368.58,N               ,P             
300000444,EUR          ,6262.97,5263,999.97,N               ,P             
300000445,EUR          ,3980.08,3344.6,635.48,N               ,P             
300000446,EUR          ,2457.23,2064.9,392.33,N               ,P             
300000447,EUR          ,1535.1,1290,245.1,N               ,P             
300000448,EUR          ,9599.61,8066.9,1532.71,N               ,P             
300000449,EUR          ,22350.58,18782,3568.58,N               ,P             
300000450,EUR          ,53414.34,44886,8528.34,N               ,P             
300000451,EUR          ,12208.56,10259.3,1949.26,N               ,P             
300000452,EUR          ,10491.04,8816,1675.04,N               ,P             
300000453,EUR          ,470,394.96,75.04,N               ,P             
300000454,EUR          ,2755.56,2315.6,439.96,N               ,P             
300000455,EUR          ,13132.36,11035.6,2096.76,N               ,P             
300000456,EUR          ,2904.79,2441,463.79,N               ,P             
300000457,EUR          ,2354.54,1978.6,375.94,N               ,P             
300000458,EUR          ,4347.01,3652.95,694.06,N               ,P             
300000459,EUR          ,947.24,796,151.24,N               ,P             
300000460,EUR          ,27504.47,23113,4391.47,N               ,P             
